"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000225972",0.298073144025244,-0.319807716220414,1.92111075000441,-0.166470213244957,0.867786922464887,NA
"ENSG00000224315",0.791012321172191,1.86212342909704,0.971433469960033,1.91688209916594,0.0552529117249832,NA
"ENSG00000198744",0.538061277086576,2.28210064174784,2.92175837008245,0.781070969151854,0.4347607552995,NA
"ENSG00000142611",0.959912939631225,0.365290653127433,0.875079955417165,0.417436887756494,0.676358878298942,0.810637148968232
"ENSG00000225630",1.85201243032997,1.39634003402105,0.560528349090088,2.49111402891172,0.012734324298584,0.0834974259263641
"ENSG00000131584",1.60076511041517,1.39651484374416,0.684826806101252,2.03922339386009,0.0414277371365118,0.163098402963546
"ENSG00000157911",0.149426671211087,0.0945897659066671,2.19201401996551,0.0431519894695543,0.965580376262598,NA
"ENSG00000237973",2.28868540934166,1.49482887142901,0.905443214273816,1.65093608065514,0.0987516274393617,0.266577781737441
"ENSG00000224051",0.162584438495993,0.462803866542158,1.83623552665877,0.252039490480984,0.801010539860352,NA
"ENSG00000157933",7.40184872285222,0.342485825320975,0.434767172979192,0.787745364890662,0.430845664502679,0.624601924665743
"ENSG00000162591",1.30526692678977,0.774638016661202,0.814966259884774,0.95051544437033,0.341850410121504,0.549229483076313
"ENSG00000116285",9.58712550221282,1.1504013859658,0.366241849310279,3.14109757836871,0.00168315943333031,0.0259078365093905
"ENSG00000142655",0.85051201271033,-1.13256408678767,1.00664997165341,-1.12508232124364,0.260554151990973,0.467470257148433
"ENSG00000240409",0.362406069267853,1.04984097730728,1.72482480527986,0.608665282464404,0.542746323414515,NA
"ENSG00000229344",0.910719462323714,2.79625020214506,1.28363894479713,2.17837750520025,0.0293779432059711,0.13377326594909
"ENSG00000149527",0.3235705206037,0.174271578021575,1.87412656659069,0.0929881583924192,0.925912968693991,NA
"ENSG00000171621",0.895803376692434,1.33735643669667,0.933096315781441,1.43324586548889,0.15178758646134,0.341356843573071
"ENSG00000162441",2.33322724535427,0.72825885599263,0.553075998021544,1.3167428320841,0.187924841162331,0.387907914805993
"ENSG00000230021",0.50814966775775,1.13894305149663,1.07722815493826,1.05729046003436,0.290379045824602,NA
"ENSG00000227372",0.385847655956978,0.334231075599884,1.32622000406761,0.252017821006149,0.801027289119148,NA
"ENSG00000142583",0.192954424583947,0.371106424194141,1.90630888682659,0.194672766181097,0.845649133429095,NA
"ENSG00000074800",26.205319068017,1.99152056076804,0.431385732704188,4.61656566220672,3.90142617843979e-06,0.00062537171001646
"ENSG00000116786",1.77263261685459,1.08177679704052,0.701312927034834,1.54250229154379,0.122951581512386,0.300036084421943
"ENSG00000176022",0.389291302478212,-1.17806230723393,1.26997996366618,-0.927622750703171,0.353603292132125,NA
"ENSG00000162496",2.49244404736094,-0.210776667822999,0.633937105096633,-0.332488295965685,0.739520575982983,0.851011609718257
"ENSG00000173614",0.743804693555135,1.76008249558615,1.24278251318611,1.41624337075185,0.156704261620843,NA
"ENSG00000248527",2.48888868556644,0.905433418544501,0.699651117284798,1.2941213072857,0.195623522768302,0.39657913021738
"ENSG00000116254",0.671611891089612,2.46506825161332,1.36186383154009,1.81006954918956,0.0702850024518167,NA
"ENSG00000049245",4.02266588360032,-0.0694489360629194,0.621046840185816,-0.111825600855067,0.91096168828645,0.953310537595579
"ENSG00000171603",6.58440274416059,1.04864294883886,0.453406303363166,2.3128106977351,0.0207330493624083,0.111098074883176
"ENSG00000171729",0.863390644626464,-1.00496634852322,1.20462165467225,-0.834258909945171,0.404135101132785,0.602122441543509
"ENSG00000158109",1.13881641353689,1.26990261599892,0.809491611971362,1.5687656267448,0.11670256048239,0.291051035910201
